oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
se vende casa,700000.0,250.0,,,31.8069709,-116.5860511,easyaviso,2025-09-27 22:24:19.403530,2800.0
casa en venta,980000.0,60.0,,,31.9062942,-116.5601969,easyaviso,2025-09-27 22:24:19.403530,16333.333333333334
se vende casa,3665000.0,108.87,2.0,3.0,31.8766970568,-116.6094412136,easyaviso,2025-09-27 22:24:19.403530,33664.00293928538
se vende casa,9191250.0,0.0,,3.0,31.6832022,-116.6044798,easyaviso,2025-09-27 22:24:19.403530,inf
se vende casa,2120000.0,87.8,,2.0,31.7143025743,-116.5744399339,easyaviso,2025-09-27 22:24:19.403530,24145.785876993166
casas en preventa en privada san fernando ensenada b.c,9599000.0,350.0,4.0,4.0,31.8244708,-116.6010534,easyaviso,2025-09-27 22:24:19.403530,27425.714285714286
rancho en venta por maneadero ensenada,6783142.5,171.0,2.0,3.0,32.0841086106,-116.8803845346,easyaviso,2025-09-27 22:24:19.403530,39667.5
del carmen  privada  maneadero  2r 1.5b  ensenada,3295000.0,119.75,3.0,3.0,31.8157237,-116.5912113,easyaviso,2025-09-27 22:24:19.403530,27515.657620041755
hermosa residencia en loma dorada 4 recamaras,1600000.0,857.96,,,31.6939711021,-116.6254608032,easyaviso,2025-09-27 22:24:19.403530,1864.888806004942
villa con vista al mar en punta piedra,5790000.0,137.72,2.0,3.0,31.9177320458,-116.6918243377,easyaviso,2025-09-27 22:24:19.403530,42041.82399070578
casa en vista hermosa 3.295000.00,5790000.0,,2.0,3.0,31.9177371567,-116.6919021754,easyaviso,2025-09-27 22:24:19.403530,
casa en venta ubicada en zona sur,21139875.0,440.86,3.0,3.0,31.9081871,-116.723864,easyaviso,2025-09-27 22:24:19.403530,47951.44717143764
casa en venta ubicada en fraccionamiento andarez residencial,4000000.0,158.0,3.0,4.0,31.7843456539,-116.6099006955,easyaviso,2025-09-27 22:24:19.403530,25316.45569620253
casa en venta en fraccionamiento villlas cibolas del mar,3000000.0,125.0,2.0,3.0,31.7832099299,-116.6120043432,easyaviso,2025-09-27 22:24:19.403530,24000.0
casa en venta ubicada en puerta del mar,6516000.0,177.44,2.0,3.0,31.8892682714,-116.6811408951,easyaviso,2025-09-27 22:24:19.403530,36722.27231740307
casa en venta  ex ejido chapultepec,1400000.0,400.0,,,31.679228902,-116.6031408028,easyaviso,2025-09-27 22:24:19.403530,3500.0
casa en ex ejido de chapultepec  en venta,5297000.0,137.72,2.0,3.0,31.9134142598,-116.690843557,easyaviso,2025-09-27 22:24:19.403530,38462.09700842289
casa en venta en colinas del sauzal modelo pardela,588240.0,437.3,,,32.070301742,-116.6299581528,easyaviso,2025-09-27 22:24:19.403530,1345.1635033158016
casa en venta en residencial vinedos del mar,4450000.0,134.0,2.0,3.0,31.8027476,-116.584922,easyaviso,2025-09-27 22:24:19.403530,33208.9552238806
