oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
casa en venta en valle de guadalupe fracc. los olivos,3687529.5,360.0,,,32.0373551991,-116.6490507682,easyaviso,2025-09-27 22:24:19.403530,10243.1375
venta de casa en vinedos del mar  el sauzal ensenada,5850000.0,440.0,3.0,5.0,31.7680388,-116.5698336,easyaviso,2025-09-27 22:24:19.403530,13295.454545454546
venta de casa 5 rec amplio patio col. domingo luna,2830905.0,530.46,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,5336.698337292161
venta de estudio de 1 nivel en fracc. pedregal playitas,6047842.5,172.0,2.0,2.0,32.0852379979,-116.8821071954,easyaviso,2025-09-27 22:24:19.403530,35161.875
casa en venta en punta piedra ensenada,4136062.5,500.0,,,32.0980592,-116.5783903,easyaviso,2025-09-27 22:24:19.403530,8272.125
casa en venta en punta piedra ensenada,20220750.0,890.0,3.0,3.0,31.8795212,-116.622962,easyaviso,2025-09-27 22:24:19.403530,22719.94382022472
casa en venta en punta piedra ensenada,61594007.454,671.8,,,32.0787928892,-116.5712070197,easyaviso,2025-09-27 22:24:19.403530,91685.03640071451
casa y departamentos en venta en ensenada,65441700.0,0.0,,,31.7097319235,-116.649055481,easyaviso,2025-09-27 22:24:19.403530,inf
departamento en venta en ensenada viento,4110336.19125,453.35,,,32.0946281,-116.573572,easyaviso,2025-09-27 22:24:19.403530,9066.584738612552
departamento en venta en ensenada viento,82721250.0,0.0,,,31.8524455,-116.5881867,easyaviso,2025-09-27 22:24:19.403530,inf
departamento en venta en ensenada viento,15119606.25,900.0,,,32.0677777,-116.6545272,easyaviso,2025-09-27 22:24:19.403530,16799.5625
residencia de lujo en bajamar country con vista al mar  ensenada,3060686.25,271.0,,,32.0924044,-116.8448458,easyaviso,2025-09-27 22:24:19.403530,11294.04520295203
bonita casa en venta en lomas de san marino,1350000.0,34.0,,,31.9055374,-116.5853139,easyaviso,2025-09-27 22:24:19.403530,39705.882352941175
casa en venta en el valle de guadalupe,27573750.0,505.0,23.0,8.0,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,54601.485148514854
departamentos en venta en vinedos del mar,15625125.0,800.0,,,31.5563401,-116.4070768,easyaviso,2025-09-27 22:24:19.403530,19531.40625
en venta rancho en ensenada,1200000.0,220.0,,,31.8771243,-116.6511532,easyaviso,2025-09-27 22:24:19.403530,5454.545454545455
rancho en venta con produccion de uva,2500000.0,110.0,2.0,3.0,31.8118989,-116.5870224,easyaviso,2025-09-27 22:24:19.403530,22727.272727272728
casa en venta en ensenada baja california,1200000.0,220.0,,,31.8771243,-116.6511532,easyaviso,2025-09-27 22:24:19.403530,5454.545454545455
departamento en venta en catavina ii ensenada,2300000.0,128.25,,3.0,31.9029299,-116.58516,easyaviso,2025-09-27 22:24:19.403530,17933.723196881092
venta departamento en los laureles.   atencion inversionistas,7900000.0,291.12,3.0,3.0,31.7669197,-116.5198744,easyaviso,2025-09-27 22:24:19.403530,27136.57598241275
casa en venta,5200000.0,251.0,3.0,4.0,31.870683,-116.5704585,easyaviso,2025-09-27 22:24:19.403530,20717.131474103586
casa nueva en venta 4600000.00 contado,1600000.0,364.74,,,31.7889531,-116.5612779,easyaviso,2025-09-27 22:24:19.403530,4386.686406755497
casa en baja country club al sur de ensenada,3000000.0,,,2.0,31.8557021,-116.6057392,easyaviso,2025-09-27 22:24:19.403530,
amplia propiedad 5200000.00,7650000.0,,4.0,4.0,31.8244708,-116.6010534,easyaviso,2025-09-27 22:24:19.403530,
casa en venta,3676500.0,300.0,,,31.8606668,-116.62537,easyaviso,2025-09-27 22:24:19.403530,12255.0
hacienda en venta en carretera a ojos negros ensenada baja california,2941200.0,79.96,2.0,2.0,31.9153607,-116.6923713,easyaviso,2025-09-27 22:24:19.403530,36783.391695847924
condominio nuevo cerca de la playa y el valle de guadalupe,505518.75,210.0,,,31.8792363768,-116.5716712517,easyaviso,2025-09-27 22:24:19.403530,2407.2321428571427
penthouse en venta en pacifica penthouse for sale,6893437.5,196.5,4.0,3.0,32.1055079477,-116.5623439863,easyaviso,2025-09-27 22:24:19.403530,35081.10687022901
casa prima luz  home for sale in the gudalupe valley ensenada,5514750.0,227.32,3.0,4.0,31.875012,-116.6389129,easyaviso,2025-09-27 22:24:19.403530,24259.85395037832
departamento en venta en vinedos del mar,5147100.0,,,,31.8807346937,-116.6838683362,easyaviso,2025-09-27 22:24:19.403530,
vinedo a la venta en valle de guadalupe  rancho cien piedras,4411800.0,563.0,,,31.9869208853,-116.6328506107,easyaviso,2025-09-27 22:24:19.403530,7836.234458259325
departamentos en venta en viento residencial,1200000.0,,,2.0,31.7685019334,-116.5577720851,easyaviso,2025-09-27 22:24:19.403530,
oportunidad unica en san antonio de las minas,6121372.5,0.0,,,31.9883480647,-116.6288694506,easyaviso,2025-09-27 22:24:19.403530,inf
venta condominio en catavina 1 puerta del mar ensenada,3957000.0,123.0,2.0,2.0,31.8854094,-116.6327432,easyaviso,2025-09-27 22:24:19.403530,32170.731707317074
casa en venta en baja country club ensenada,9589598.775,249.0,,3.0,31.8567021,-116.6047392,easyaviso,2025-09-27 22:24:19.403530,38512.44487951807
tu casa de ensueno cerca del mar,4950000.0,155.0,2.0,3.0,31.8524279,-116.5961379,easyaviso,2025-09-27 22:24:19.403530,31935.483870967742
tu casa de ensueno cerca del mar,2389725.0,253.66,,,32.0537002,-116.8814595,easyaviso,2025-09-27 22:24:19.403530,9420.976898210203
casa nueva en buenaventura,530000.0,,,,31.0950346,-116.1904852,easyaviso,2025-09-27 22:24:19.403530,
casa en fraccionamiento privado modelo garza,4950000.0,155.0,2.0,3.0,31.8524279,-116.5961379,easyaviso,2025-09-27 22:24:19.403530,31935.483870967742
casa en venta,5296500.0,137.72,2.0,3.0,31.8525361,-116.6075331,easyaviso,2025-09-27 22:24:19.403530,38458.46645367412
casa nueva en ensenada,9000000.0,230.0,2.0,3.0,31.8760677,-116.6181231,easyaviso,2025-09-27 22:24:19.403530,39130.434782608696
tu casa nueva cerca del valle de guadalupe,6323580.0,220.0,2.0,3.0,31.7846708,-116.6015466,easyaviso,2025-09-27 22:24:19.403530,28743.545454545456
tu casa en ensenada,9191231.6175,155.0,3.0,3.0,32.4628466096,-117.1101400268,easyaviso,2025-09-27 22:24:19.403530,59298.2685
casa playa ensenada,6250050.0,141.64,2.0,4.0,31.8719796,-116.6278364,easyaviso,2025-09-27 22:24:19.403530,44126.306128212374
casa chapultepec ensenada,4500000.0,195.0,3.0,3.0,31.8827997,-116.6211689,easyaviso,2025-09-27 22:24:19.403530,23076.923076923078
departamento con vista al mar,2702227.5,108.87,2.0,3.0,31.819016,-116.5946287,easyaviso,2025-09-27 22:24:19.403530,24820.68062827225
compra tu casa en ryerson ensenada,520129.0,599.0,,,31.8459382,-116.6097686,easyaviso,2025-09-27 22:24:19.403530,868.3288814691152
casa centrica en ensenada,2450000.0,197.0,2.0,4.0,31.8817217,-116.6442806,easyaviso,2025-09-27 22:24:19.403530,12436.548223350253
tu nuevo hogar en ensenada valle dorado,2180000.0,94.0,2.0,3.0,31.8817217,-116.6442806,easyaviso,2025-09-27 22:24:19.403530,23191.489361702126
vive tus suenos frente al mar,3200000.0,130.0,2.0,3.0,31.8606419,-116.5794164,easyaviso,2025-09-27 22:24:19.403530,24615.384615384617
hermosa casa en priva en ensenada,4852450.0,133.78,3.0,3.0,31.8540144,-116.6080271,easyaviso,2025-09-27 22:24:19.403530,36271.8642547466
tu departamento frente la playa,3500000.0,120.0,2.0,2.0,31.8464581,-116.5928305,easyaviso,2025-09-27 22:24:19.403530,29166.666666666668
tu nuevo departamento en ensenada,5296500.0,137.72,,2.0,32.5543373,-116.0390126,easyaviso,2025-09-27 22:24:19.403530,38458.46645367412
tu nueva casa en ensenada,4200000.0,135.0,2.0,3.0,31.8897342,-116.6864251,easyaviso,2025-09-27 22:24:19.403530,31111.11111111111
tu nueva casa en ensenada,4130000.0,139.9,2.0,2.0,31.8391529,-116.6051764,easyaviso,2025-09-27 22:24:19.403530,29521.086490350248
casa en venta en el sauzal ensenada,4560000.0,154.45,2.0,3.0,31.8391529,-116.6051764,easyaviso,2025-09-27 22:24:19.403530,29524.117837487862
vive en el corazon de ensenada,6075416.25,141.64,3.0,3.0,31.8617881,-116.6023167,easyaviso,2025-09-27 22:24:19.403530,42893.36522168879
tu casa en ensenada,220000.0,200.0,,,31.8698185,-116.632613,easyaviso,2025-09-27 22:24:19.403530,1100.0
tu casa en ensenada,3300000.0,160.0,2.0,3.0,31.8613209,-116.5720639,easyaviso,2025-09-27 22:24:19.403530,20625.0
ensenada preventa casa en zona centrica,3216937.5,500.0,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,6433.875
casa en venta en ensenada baja california.,286000.0,,,,32.100357,-116.5802068,easyaviso,2025-09-27 22:24:19.403530,
venta de casa en ensenada,4853000.0,133.78,2.0,3.0,31.9145957393,-116.6916498248,easyaviso,2025-09-27 22:24:19.403530,36275.97548213485
casa en venta en residencial vinedos del mar,1500000.0,400.0,3.0,5.0,31.7365712954,-116.5682458878,easyaviso,2025-09-27 22:24:19.403530,3750.0
casa en el porvenir en ventahouse for sale with large land,350000.0,434.0,,,31.7182323,-116.5707177,easyaviso,2025-09-27 22:24:19.403530,806.4516129032259
aura ocean living condominio en venta frente al mar,88677757.0,552.05,,,31.8780171,-116.5809185,easyaviso,2025-09-27 22:24:19.403530,160633.5603659089
tierra santa ej porvenir quintas campestre 1600000.00 solo de contado,13000000.0,0.0,,,31.8501535,-116.602895,easyaviso,2025-09-27 22:24:19.403530,inf
casa en venta fracc. mar,1800000.0,48.0,,,31.7319495638,-116.5689969063,easyaviso,2025-09-27 22:24:19.403530,37500.0
casa en col. gomez morin,1450000.0,243.0,,,31.6121009,-115.889852,easyaviso,2025-09-27 22:24:19.403530,5967.078189300411
departamento en venta en ensenada,3700000.0,242.0,2.0,3.0,31.8471496,-116.5700378,easyaviso,2025-09-27 22:24:19.403530,15289.256198347108
casa en ventapraderas del cipres,2000000.0,,4.0,3.0,31.8679339,-116.6337374,easyaviso,2025-09-27 22:24:19.403530,
casa en venta,1000000.0,200.0,,2.0,31.7314157458,-116.6187572479,easyaviso,2025-09-27 22:24:19.403530,5000.0
casa vacacional en ensenada b. c.,2196708.75,250.0,,,31.8525687,-116.5865593,easyaviso,2025-09-27 22:24:19.403530,8786.835
casa vacacional en ensenada b. c.,3250000.0,79.96,2.0,2.0,31.8895109,-116.6914122,easyaviso,2025-09-27 22:24:19.403530,40645.32266133067
casa de campo en venta  beautiful country house for sale,3600000.0,200.0,8.0,3.0,31.6796786964,-116.518168917,easyaviso,2025-09-27 22:24:19.403530,18000.0
casa de 1 piso,1060000.0,495.0,,,31.8788616,-116.6380624,easyaviso,2025-09-27 22:24:19.403530,2141.4141414141413
2500000,6000000.0,186.0,3.0,6.0,31.8544963,-116.6098108,easyaviso,2025-09-27 22:24:19.403530,32258.064516129034
venta de casa en buenaventura ensenada b.c.,4490000.0,180.0,2.0,4.0,31.7875063121,-116.5952844436,easyaviso,2025-09-27 22:24:19.403530,24944.444444444445
casa  1 piso y 6 recamaras,4500000.0,159.0,3.0,3.0,31.9143651,-116.6913975,easyaviso,2025-09-27 22:24:19.403530,28301.88679245283
hermosa  casa  cerca a hospital 4650000m.n,349267.5,0.0,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,inf
casa en venta,3800000.0,122.0,,3.0,31.786831,-116.5906097,easyaviso,2025-09-27 22:24:19.403530,31147.54098360656
se vende casa nueva en el sauzal fracc. vinedos del mar.,1838250.0,0.0,,,32.0950605,-116.5681785,easyaviso,2025-09-27 22:24:19.403530,inf
casa timoty en venta en maneadero,5250000.0,307.44,2.0,3.0,31.8870029,-116.5954211,easyaviso,2025-09-27 22:24:19.403530,17076.50273224044
casa en venta,413606.25,500.0,,,32.0968829,-116.5619554,easyaviso,2025-09-27 22:24:19.403530,827.2125
casa en venta  lomas de valle verde,3400000.0,143.5,3.0,3.0,31.7849613,-116.5998539,easyaviso,2025-09-27 22:24:19.403530,23693.379790940766
casa en venta  colonia hidalgo,12775837.5,448.0,4.0,5.0,31.7851848,-116.5890129,easyaviso,2025-09-27 22:24:19.403530,28517.49441964286
casa teka  ejido chapultepec,1123000.0,518.0,,,31.8595443,-116.597068,easyaviso,2025-09-27 22:24:19.403530,2167.953667953668
casa de lujo amueblada con vista al mar en punta piedra baja california,321693.75,200.0,,,30.5270054,-115.9303506,easyaviso,2025-09-27 22:24:19.403530,1608.46875
casa en venta en ensenada baja california,3500000.0,,2.0,3.0,31.8706647,-116.6618701,easyaviso,2025-09-27 22:24:19.403530,
casa en venta fracc siena residencial,500000.0,,,,31.8884785405,-116.6374254792,easyaviso,2025-09-27 22:24:19.403530,
casa en venta en ensenada cerca del centro,1746337.5,312.0,,,31.8312375303,-116.5864200765,easyaviso,2025-09-27 22:24:19.403530,5597.235576923077
ventas de casas en privada vinedos del mar,300000.0,200.0,,,31.8835486,-116.6245836,easyaviso,2025-09-27 22:24:19.403530,1500.0
casa con alberca y amplio jardin en playas de chapultepec en ensenada b c,4130033.04,12.0,,,31.965445,-116.646471,easyaviso,2025-09-27 22:24:19.403530,344169.42
casa en ventavillas de san miguel,700000.0,964.0,,,31.8875027,-116.6391216,easyaviso,2025-09-27 22:24:19.403530,726.1410788381743
lomas del campanario casa monaco,6783142.5,300.0,3.0,3.0,31.9711224812,-116.626213789,easyaviso,2025-09-27 22:24:19.403530,22610.475
communidad de campo de golf casa de un solo nivel de 4 dormitorios,919125.0,167.9,,,31.7867212,-116.6062931,easyaviso,2025-09-27 22:24:19.403530,5474.240619416319
casa en venta av. san antonio de las minas en ensenada mexico,3250000.0,186.0,3.0,5.0,31.8494441341,-116.570392743,easyaviso,2025-09-27 22:24:19.403530,17473.11827956989
preventa casa en ej chapultepec,700000.0,500.0,,,31.5543401,-116.4090768,easyaviso,2025-09-27 22:24:19.403530,1400.0
casa de 3 niveles con terraza vista al mar,1838250.0,0.0,,,31.9882705052,-116.6788042601,easyaviso,2025-09-27 22:24:19.403530,inf
terro de 1000m2 en san antonio de las minas,6300000.0,250.0,3.0,3.0,31.7667582111,-116.5359223791,easyaviso,2025-09-27 22:24:19.403530,25200.0
casa frente al mar en fracc loma dorada,1852956.0,,,,32.0956959146,-116.573101009,easyaviso,2025-09-27 22:24:19.403530,
preventa casa en fracc baja country club,4495219.785,493.4,,,32.0966281,-116.571572,easyaviso,2025-09-27 22:24:19.403530,9110.700820835023
preventa casa con terraza vista al mar,9191250.0,300.0,2.0,3.0,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,30637.5
casa en venta 1075m2 valle de guadalupe,1654425.0,293.0,,,31.8716483,-116.6509134,easyaviso,2025-09-27 22:24:19.403530,5646.5017064846415
MAGNiFICA RESIDENCIA EN VENTA COL. AZTECA,5500000000.0,257.0,2.0,3.0,31.8704215,-116.6208047,easyaviso,2025-09-27 22:24:19.403530,21400778.210116733
vinedo en venta fco zarco valle de guadalupe ensenada b.c.,4500000.0,156.0,3.0,4.0,31.86785,-116.5823939,easyaviso,2025-09-27 22:24:19.403530,28846.153846153848
venta de departamento en ensenada,4200000.0,135.0,2.0,3.0,31.8893702,-116.6859696,easyaviso,2025-09-27 22:24:19.403530,31111.11111111111
se vende casa en la calle 9  ideal para comercio zona centro ensenada b.c.,8547844.1175,422.0,3.0,3.0,32.0970316426,-116.8771666288,easyaviso,2025-09-27 22:24:19.403530,20255.554780805687
vivienda en venta ensenada  el sauzal,9650812.5,,4.0,5.0,32.092408,-116.8503918,easyaviso,2025-09-27 22:24:19.403530,
casa grande con vistas al mar y al estuario en la mision,5512911.75,,2.0,3.0,32.092408,-116.8503918,easyaviso,2025-09-27 22:24:19.403530,
casa moderna con vista al mar en venta en ensenada  a solo pasos de la playa,9007425.0,145.0,2.0,3.0,31.8717279,-116.6126993,easyaviso,2025-09-27 22:24:19.403530,62120.1724137931
la mision suite 333 calle vizcaino,1900000.0,122.0,2.0,2.0,31.7360945,-116.5723515,easyaviso,2025-09-27 22:24:19.403530,15573.77049180328
la mision suite 68,5250000.0,500.0,2.0,2.0,31.8290317,-116.5991117,easyaviso,2025-09-27 22:24:19.403530,10500.0
juan maria salvatierra suite 352,5744531.25,502.0,,,31.7985138,-116.5898431,easyaviso,2025-09-27 22:24:19.403530,11443.289342629481
casa de una planta en venta en maneadero parte baja,6000000.0,,,,31.7233782247,-116.5735964017,easyaviso,2025-09-27 22:24:19.403530,
casa en venta en ensenda baja california.,3300000.0,125.0,,3.0,31.8531316,-116.5707089,easyaviso,2025-09-27 22:24:19.403530,26400.0
fincarancho  comercial en venta,13786875.0,0.0,,,31.986304,-116.6369106,easyaviso,2025-09-27 22:24:19.403530,inf
casa en venta en ensenada baja california,200000.0,200.0,,,31.8638888,-116.5488888,easyaviso,2025-09-27 22:24:19.403530,1000.0
casa en venta en residencial vinedos del mar,2900000.0,170.0,2.0,3.0,31.8847365937,-116.5894567966,easyaviso,2025-09-27 22:24:19.403530,17058.823529411766
lujosa casa en venta nueva modelo halcon,459.5625,0.0,,,31.965445,-116.646471,easyaviso,2025-09-27 22:24:19.403530,inf
a  la venta solo contado,3300000.0,184.0,2.0,3.0,31.8835855,-116.5860511,easyaviso,2025-09-27 22:24:19.403530,17934.782608695652
casa en preventa indeco lomitas,1800000.0,,,2.0,31.9018248,-116.5753427,easyaviso,2025-09-27 22:24:19.403530,
rancho media luna  invierte en tu paraiso natural,1375000.0,528.64,,,31.8698185,-116.632613,easyaviso,2025-09-27 22:24:19.403530,2601.0139225181597
casa en venta en villas del cedro 1800000.00 solo de contado,650000.0,448.32,,,31.9019113,-116.547363,easyaviso,2025-09-27 22:24:19.403530,1449.857244825125
bonito apartamento en venta,1100000.0,200.0,,,31.8973941,-116.5626533,easyaviso,2025-09-27 22:24:19.403530,5500.0
propiedad en lomas de san antonio valle de guadalupe,3639798.0,73.68,2.0,2.0,31.8895109,-116.6914122,easyaviso,2025-09-27 22:24:19.403530,49400.081433224754
azur  vinedos del mar,2500000.0,,2.0,5.0,31.7694965,-116.5597588,easyaviso,2025-09-27 22:24:19.403530,
palomino  vinedos del mar,6107934.8925,,,,31.9143338092,-116.5943891036,easyaviso,2025-09-27 22:24:19.403530,
casa en ventagranjas del gallo,1950000.0,200.0,3.0,3.0,31.8921200582,-116.5807360644,easyaviso,2025-09-27 22:24:19.403530,9750.0
casa en venta  fracc. ventto ensenada b.c.,9400000.0,350.0,4.0,4.0,31.8252132,-116.6040969,easyaviso,2025-09-27 22:24:19.403530,26857.14285714286
casa moderna de un solo piso en bajamar  3 recamaras 3 banos,250000.0,0.0,,,31.9064141,-116.7257612,easyaviso,2025-09-27 22:24:19.403530,inf
venta de casas en  privada residencial quetzal ensenada b.c.,7511365.2375,817.0,,,32.0846443844,-116.8834224171,easyaviso,2025-09-27 22:24:19.403530,9193.8375
casa en privada isla coronado,29800000.0,900.0,9.0,6.0,31.8829334,-116.6250811,easyaviso,2025-09-27 22:24:19.403530,33111.11111111111
lujosa casa en venta ubicada en fracc. empleados,12500100.0,194.0,2.0,3.0,31.8668042,-116.6636783,easyaviso,2025-09-27 22:24:19.403530,64433.50515463918
casa en venta ubicada en colinas del golfo,4500000.0,225.0,3.0,4.0,31.867690229,-116.5823664685,easyaviso,2025-09-27 22:24:19.403530,20000.0
venta de departamento en torre barlovento frente al mar  ens. b.c.,1194862.5,394.0,,,32.0523168165,-116.8763778443,easyaviso,2025-09-27 22:24:19.403530,3032.645939086294
casa adosada en ensenada,3492675.0,294.0,3.0,3.0,31.7130662514,-116.65465546,easyaviso,2025-09-27 22:24:19.403530,11879.84693877551
casa en venta  popular 2,919125.0,600.0,,,32.061246609,-116.6182656625,easyaviso,2025-09-27 22:24:19.403530,1531.875
opportunity in valle de guadalupe,400000.0,200.0,,,31.8025247099,-116.577491216,easyaviso,2025-09-27 22:24:19.403530,2000.0
propiedad con construccion en proceso,2336415.75,588.44,,,31.9114113294,-116.7133265734,easyaviso,2025-09-27 22:24:19.403530,3970.525032288763
departamento en preventa enalto,2357555.625,225.0,,,32.0037591011,-116.862024581,easyaviso,2025-09-27 22:24:19.403530,10478.025
1000 m2 exclusiva comunidad privada. valle de guadalupe,900742.5,136.0,,,32.0666832191,-116.8765068054,easyaviso,2025-09-27 22:24:19.403530,6623.106617647059
casa en venta,5300000.0,137.72,2.0,2.0,31.8525361,-116.6075331,easyaviso,2025-09-27 22:24:19.403530,38483.88033691548
casa en venta modelo azur,5950000.0,137.72,2.0,3.0,31.8557021,-116.6057392,easyaviso,2025-09-27 22:24:19.403530,43203.60151031078
casa nueva en venta ampliacion marquez de leon,1011037.5,900.0,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,1123.375
casa en venta,270000.0,,,,31.7797838495,-116.5681286601,easyaviso,2025-09-27 22:24:19.403530,
casa en venta cerca de plaza sendero,6500000.0,375.0,,,32.0986281,-116.569572,easyaviso,2025-09-27 22:24:19.403530,17333.333333333332
casa en venta modelo alca,6516000.0,177.44,2.0,3.0,31.8902222,-116.6799248,easyaviso,2025-09-27 22:24:19.403530,36722.27231740307
cabana totalmente equipada,7377687.6975,172.0,2.0,2.0,32.0839022,-116.8810433,easyaviso,2025-09-27 22:24:19.403530,42893.533125
hotel boutique a pocos metros de carretera rumbo a ruta del vino,644189.0,495.53,,,31.8431972,-116.5687778,easyaviso,2025-09-27 22:24:19.403530,1300.0
casa en venta modelo pardela,1911780.0,600.0,,,32.0976281,-116.570572,easyaviso,2025-09-27 22:24:19.403530,3186.3
tu casa de ensueno cerca del mar,41820187.5,,,,31.881812,-116.5716523,easyaviso,2025-09-27 22:24:19.403530,
bonita casa en venta en colinas del sauzal,6300000.0,210.57,2.0,3.0,31.8892222,-116.6809248,easyaviso,2025-09-27 22:24:19.403530,29918.79185069098
bonita casa en venta en colinas del sauzal,5200000.0,219.0,3.0,5.0,31.8620842046,-116.6071093388,easyaviso,2025-09-27 22:24:19.403530,23744.29223744292
bonita casa en venta en colinas del sauzal,11029500.0,478.0,,8.0,32.0301601833,-116.6403439635,easyaviso,2025-09-27 22:24:19.403530,23074.267782426778
casa en venta en colonia jalisco ensenada,10000.0,,3.0,2.0,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,
casa 335 en venta  andarez residencial,5330925.0,186.0,3.0,4.0,31.8799937,-116.6470558,easyaviso,2025-09-27 22:24:19.403530,28660.887096774193
casa 410 en venta   andarez residencial,11764800.0,215.0,,2.0,31.9078885,-116.723453,easyaviso,2025-09-27 22:24:19.403530,54720.0
promocion de preventa casa residencial san fernando,2850000.0,107.0,,2.0,31.8281067203,-116.5828219378,easyaviso,2025-09-27 22:24:19.403530,26635.51401869159
casa habitacion en privada isla coronado ensenada,3280000.0,145.0,2.0,3.0,31.8258053,-116.5876638,easyaviso,2025-09-27 22:24:19.403530,22620.689655172413
iconica residencia en venta en zona norte,8731687.5,230.0,3.0,3.0,32.0557002,-116.8794595,easyaviso,2025-09-27 22:24:19.403530,37963.858695652176
casa en pre venta en villa colonial,17463375.0,0.0,,16.0,32.0772777,-116.6257777,easyaviso,2025-09-27 22:24:19.403530,inf
hermosa casa completamente nueva  en venta en privada baikal i,3676500.0,140.0,,2.0,31.823063151,-116.6019849978,easyaviso,2025-09-27 22:24:19.403530,26260.714285714286
condominio  super amplio en venta desarrollo turistico puerto salina,6433875.0,207.68,2.0,3.0,31.8231188908,-116.6021143407,easyaviso,2025-09-27 22:24:19.403530,30979.75250385208
se vende propiedad habitacional multiple exclusivo en valle de guadalupe,530000.0,200.0,,2.0,31.8954818506,-116.5625279099,easyaviso,2025-09-27 22:24:19.403530,2650.0
casa en venta,551475.0,250.0,,,31.79,-116.4644444,easyaviso,2025-09-27 22:24:19.403530,2205.9
casa en venta,240000.0,458.0,,,31.2735739774,-116.3684338265,easyaviso,2025-09-27 22:24:19.403530,524.0174672489082
colinas de san angel  casa en venta  ensenada  1r 1 b,1150000.0,500.0,,,31.8071636763,-116.5730653374,easyaviso,2025-09-27 22:24:19.403530,2300.0
condominio en venta frente al mar  torre barlovento,2205900.0,,,,31.7223207,-116.5692941,easyaviso,2025-09-27 22:24:19.403530,
casa en venta,1011037.5,,,,31.8915626,-116.6225384,easyaviso,2025-09-27 22:24:19.403530,
departamento en venta,2573550.0,338.0,,,31.8716483,-116.6509134,easyaviso,2025-09-27 22:24:19.403530,7614.05325443787
casa en venta lomas de valle verde,2389725.0,457.0,,,31.8716483,-116.6509134,easyaviso,2025-09-27 22:24:19.403530,5229.157549234135
venta casa en punta piedra ensenada,1470600.0,800.0,,,31.7131989,-116.573388,easyaviso,2025-09-27 22:24:19.403530,1838.25
se vende espectacular propiedad en el valle de guadalupe,9099337.5,249.0,2.0,3.0,31.8951953,-116.563151,easyaviso,2025-09-27 22:24:19.403530,36543.52409638554
venta de casa en punta piedra ensenada,8547862.5,232.0,3.0,3.0,32.0876614982,-116.8778446731,easyaviso,2025-09-27 22:24:19.403530,36844.2349137931
casas en venta punta piedra la mision,5700000.0,96.5,,,31.8489382,-116.6067686,easyaviso,2025-09-27 22:24:19.403530,59067.35751295337
casas en venta en punta piedra la mision,1608468.75,500.0,,,32.1121486,-116.5524048,easyaviso,2025-09-27 22:24:19.403530,3216.9375
casa en venta,6400000.0,24.0,2.0,2.0,31.7832023,-116.6140064,easyaviso,2025-09-27 22:24:19.403530,266666.6666666667
casa en venta,3308850.0,300.0,,,31.8273364572,-116.6077179839,easyaviso,2025-09-27 22:24:19.403530,11029.5
departamentos en venta con local comercial,3500000.0,108.0,,2.0,31.8755731,-116.6009323,easyaviso,2025-09-27 22:24:19.403530,32407.40740740741
casa en venta en colonia piedras negras ensenada baja california,2757375.0,0.0,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,inf
casa en venta en col. benito juarez ensenada baja california,4100000.0,160.0,,3.0,31.8574192,-116.57753,easyaviso,2025-09-27 22:24:19.403530,25625.0
casa en venta col. hidalgo ensenada baja california,45956250.0,170.0,,3.0,31.8557021,-116.6057392,easyaviso,2025-09-27 22:24:19.403530,270330.8823529412
casa en venta,6801525.0,279.0,4.0,5.0,31.7673969072,-116.5187331489,easyaviso,2025-09-27 22:24:19.403530,24378.225806451614
casa en venta,7077262.5,,3.0,2.0,31.8395089,-116.6097319,easyaviso,2025-09-27 22:24:19.403530,
departametno en venta puerto salinas la marina ensenada,3280000.0,,2.0,3.0,30.5489734,-115.9246254,easyaviso,2025-09-27 22:24:19.403530,
casa en venta en fraccionamiento acapulco,11011117.5,720.0,,,31.7944335458,-116.5913903864,easyaviso,2025-09-27 22:24:19.403530,15293.21875
casa en venta,4852450.0,133.78,2.0,3.0,31.8495361,-116.6105331,easyaviso,2025-09-27 22:24:19.403530,36271.8642547466
casa en venta en vinedos del mar modelo azur,16360425.0,450.0,4.0,3.0,31.8689339,-116.6327374,easyaviso,2025-09-27 22:24:19.403530,36356.5
casa en venta en vinedos del mar modelo teide,3350000.0,125.0,2.0,3.0,31.8623209,-116.5710639,easyaviso,2025-09-27 22:24:19.403530,26800.0
casa en venta en cibolas del mar,19180000.0,390.0,3.0,4.0,31.8679339,-116.6337374,easyaviso,2025-09-27 22:24:19.403530,49179.48717948718
casa en venta en comercial chapultepec,9547530.0,248.0,3.0,3.0,32.2202898,-116.9149031,easyaviso,2025-09-27 22:24:19.403530,38498.104838709674
casa en venta en granjas el gallo,4852450.0,133.78,3.0,3.0,31.9178224611,-116.6929613555,easyaviso,2025-09-27 22:24:19.403530,36271.8642547466
