oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
casa en  calle 16 sur 230 playas de chapultepec ensenada baja california 22785 mex,5900000.0,300.0,5,3,31.780573,-116.611714,2025-09-27 23:03:14.104353,icasas,19666.666666666668
casa en  calle ezequiel luna torres domingo luna ensenada baja california 22785 mex,5850000.0,440.0,5,3,31.768039,-116.569834,2025-09-27 23:03:14.104353,icasas,13295.454545454546
casa en  calle playa maria 313 ver mar ensenada baja california 22860 mex,1900000.0,70.0,,1,31.872709,-116.656956,2025-09-27 23:03:14.104353,icasas,27142.85714285714
casa en  calle hayas 157 lomitas indeco iii ensenada baja california 22810 mex,3100000.0,137.0,3,2,31.891366,-116.586636,2025-09-27 23:03:14.104353,icasas,22627.73722627737
casa en  22767 cuatro milpas baja california mex,9300000.0,190.0,4,3,31.889501,-116.67871,2025-09-27 23:03:14.104353,icasas,48947.36842105263
casa en  avenida revolucion 1463 mexico ensenada baja california 22830 mex,5200000.0,206.0,4,4,31.874169,-116.613326,2025-09-27 23:03:14.104353,icasas,25242.718446601943
casa en  calle juan rulfo 282 exejido chapultepec ensenada baja california 22785 mex,6200000.0,433.0,3,4,31.801255,-116.593195,2025-09-27 23:03:14.104353,icasas,14318.706697459584
casa en  calle todos santos cibola del mar ensenada baja california 22760 mex,20200180.0,285.0,3,2,31.90268897,-116.72510211,2025-09-27 23:03:14.104353,icasas,70877.82456140351
casa en  calle d san jorge rancho ensenada baja california 22785 mex,5470000.0,154.0,3,3,31.810428,-116.581655,2025-09-27 23:03:14.104353,icasas,35519.48051948052
casa en  calle playa molino pedregal playitas ensenada baja california 22860 mex,3500000.0,150.0,3,2,31.875722,-116.663503,2025-09-27 23:03:14.104353,icasas,23333.333333333332
casa en  calle libia 182 las lomitas ensenada baja california 22810 mex,3500000.0,180.0,3,2,31.88323,-116.589203,2025-09-27 23:03:14.104353,icasas,19444.444444444445
casa en  avenida josefa ortiz de dominguez cuauhtemoc ensenada baja california 22890 mex,4950000.0,165.0,3,3,31.84918,-116.595932,2025-09-27 23:03:14.104353,icasas,30000.0
casa en  valle verde ensenada,3855000.0,108.0,3,2,31.888304,-116.609004,2025-09-27 23:03:14.104353,icasas,35694.444444444445
casa en  calle cantamar 156 ensenada baja california 22898 mex,3500000.0,171.0,6,2,31.853075,-116.585954,2025-09-27 23:03:14.104353,icasas,20467.83625730994
casa en  calle isla punta lobos popular 1989 ensenada baja california 22812 mex,1050000.0,51.0,2,1,31.899696,-116.562352,2025-09-27 23:03:14.104353,icasas,20588.235294117647
casa en  22760 ensenada baja california mex,6300000.0,210.0,3,2,31.890239,-116.67547,2025-09-27 23:03:14.104353,icasas,30000.0
casa en  calle colinas de bahia sur colinas del mar ensenada baja california 22760 mex,5400000.0,176.0,3,2,31.889222,-116.680925,2025-09-27 23:03:14.104353,icasas,30681.81818181818
casa en  ensenada baja california mex,6516000.0,177.0,3,2,31.892352,-116.675706,2025-09-27 23:03:14.104353,icasas,36813.5593220339
casa en  22767 ensenada baja california mex,5310000.0,118.0,2,2,31.891769,-116.675019,2025-09-27 23:03:14.104353,icasas,45000.0
casa en  calle paseo villafontana 266 ensenada baja california 22839 mex,2970000.0,156.0,3,3,31.888982,-116.603964,2025-09-27 23:03:14.104353,icasas,19038.46153846154
casa en  circuito del lago la salina ensenada baja california 22765 mex,10559185.0,311.0,4,3,32.0524696,-116.87342737,2025-09-27 23:03:14.104353,icasas,33952.363344051446
casa en  calle providencia 1735 juan diego residencial ensenada baja california 22896 mex,10100090.0,372.0,5,5,31.818058,-116.593812,2025-09-27 23:03:14.104353,icasas,27150.779569892475
casa en  cirios 113 benito juarez ensenada baja california 22820 mex,6500000.0,382.0,4,3,31.885511,-116.618097,2025-09-27 23:03:14.104353,icasas,17015.706806282724
casa en  murgia ensenada,5050045.0,230.0,5,5,31.684483,-116.611522,2025-09-27 23:03:14.104353,icasas,21956.717391304348
casa en  avenida fundadores 803 emiliano zapata san quintin baja california 22920 mex,6500000.0,450.0,4,3,30.77038,-116.010797,2025-09-27 23:03:14.104353,icasas,14444.444444444445
casa en  calle albania 8271283 las lomitas ensenada baja california 22810 mex,3200000.0,93.0,3,2,31.88787,-116.580327,2025-09-27 23:03:14.104353,icasas,34408.602150537634
casa en  camalu ensenada,3200000.0,144.0,3,2,30.84275,-116.058535,2025-09-27 23:03:14.104353,icasas,22222.222222222223
casa en  pedregal playitas ensenada,2250000.0,100.0,3,2,31.873634,-116.660704,2025-09-27 23:03:14.104353,icasas,22500.0
casa en  calle puerto de la paz 201 lomas del sauzal el sauzal de rodriguez ensenada baja california 22760 mex,3195000.0,125.0,3,2,31.902968,-116.690319,2025-09-27 23:03:14.104353,icasas,25560.0
casa en  calle jade ensenada baja california 22860 mex,2990000.0,157.0,3,1,31.876343,-116.660012,2025-09-27 23:03:14.104353,icasas,19044.585987261147
casa en  calle de la azucena marquez de leon ensenada baja california 22850 mex,2995000.0,109.0,3,2,31.866784,-116.575102,2025-09-27 23:03:14.104353,icasas,27477.064220183485
casa en  calle profesor salvador burgueno 164 conj. hab. magisterial ensenada baja california 22839 mex,2000000.0,86.0,2,1,31.89053,-116.597337,2025-09-27 23:03:14.104353,icasas,23255.81395348837
casa en  hidalgo ensenada,12762841.0,448.0,5,4,31.8526802,-116.5857226,2025-09-27 23:03:14.104353,icasas,28488.484375
casa en  avenida alvaro obregon 105 conjunto habitacional el maneadero ensenada baja california 22790 mex,2754570.0,174.0,2,2,31.715739,-116.573127,2025-09-27 23:03:14.104353,icasas,15830.862068965518
casa en  calle mar de cortes 153 misiones de la presa ii ensenada baja california 22813 mex,2095000.0,100.0,3,1,31.897629,-116.571299,2025-09-27 23:03:14.104353,icasas,20950.0
casa en  calle b terrazas el gallo ensenada baja california 22850 mex,3150000.0,125.0,3,2,31.853793,-116.570535,2025-09-27 23:03:14.104353,icasas,25200.0
casa en  colima 302308 fraccionamiento reforma ensenada baja california 22920 mex,3995000.0,190.0,5,4,30.729981,-115.986841,2025-09-27 23:03:14.104353,icasas,21026.315789473683
casa en  ignacio aldama 800828 fraccionamiento rancho nuevo ensenada baja california 22920 mex,2500000.0,117.0,3,2,30.721731,-115.987043,2025-09-27 23:03:14.104353,icasas,21367.521367521367
casa en  segunda 101 fraccionamiento rancho nuevo ensenada baja california 22920 mex,2500000.0,117.0,3,2,30.722063,-115.98567,2025-09-27 23:03:14.104353,icasas,21367.521367521367
casa en  calle articulo 14 constitucional articulo 115 ensenada baja california 22755 mex,2850000.0,,,,32.078711,-116.575322,2025-09-27 23:03:14.104353,icasas,
departamento en  latinas bazar punta banda i ensenada baja california mex,1550000.0,61.0,2,1,31.829754,-116.605122,2025-09-27 23:03:14.104353,icasas,25409.83606557377
casa en  camino mesa de san miguel 119152 villas cibolas del mar san miguel ensenada baja california 22760 mex,34891220.0,900.0,5,5,31.906416,-116.726089,2025-09-27 23:03:14.104353,icasas,38768.02222222222
casa en  calle mesa de san miguel 616 san miguel ensenada baja california 22760 mex,8722805.0,312.0,4,4,31.906889,-116.724453,2025-09-27 23:03:14.104353,icasas,27957.708333333332
casa en  c. de las gardenias 140 lomas de valle verde 22810 ensenada b.c. mexico,5500000.0,200.0,4,3,31.883926,-116.6026018,2025-09-27 23:03:14.104353,icasas,27500.0
casa en  calle del yate 4 san marino ensenada baja california 22870 mex,8600000.0,242.0,4,3,31.866696,-116.65496,2025-09-27 23:03:14.104353,icasas,35537.19008264463
casa en  valle dorado ensenada,13772850.0,500.0,7,5,31.8242256,-116.6018998,2025-09-27 23:03:14.104353,icasas,27545.7
casa en  avenida espana 197 zona playitas ensenada baja california mexico,8200000.0,223.0,4,3,31.8684595,-116.6455472,2025-09-27 23:03:14.104353,icasas,36771.30044843049
casa en  cibolas del mar ensenada,11752832.0,215.0,2,1,31.907888,-116.723453,2025-09-27 23:03:14.104353,icasas,54664.33488372093
casa en  la concha 22896 ensenada b.c. mexico,4400000.0,119.0,3,2,31.8160286,-116.5873097,2025-09-27 23:03:14.104353,icasas,36974.78991596639
casa en  calle colinas de mexicali colinas del sauzal el sauzal de rodriguez ensenada baja california 22760 mex,4500000.0,150.0,2,2,31.886746,-116.678392,2025-09-27 23:03:14.104353,icasas,30000.0
casa en  hidalgo ensenada,12762841.0,409.0,3,3,31.8575279,-116.5830316,2025-09-27 23:03:14.104353,icasas,31204.9902200489
casa en  granjas el gallo ensenada,3300000.0,160.0,3,2,31.8613209,-116.5720639,2025-09-27 23:03:14.104353,icasas,20625.0
casa en  boulevard general juan zertuche 863 valle dorado ensenada baja california mexico,7900000.0,308.0,3,3,31.8309865,-116.5979919,2025-09-27 23:03:14.104353,icasas,25649.35064935065
casa en  hidalgo ensenada,9090081.0,394.0,4,2,31.8575279,-116.5830316,2025-09-27 23:03:14.104353,icasas,23071.271573604063
departamento en  murgia ensenada,2399000.0,100.0,2,2,31.966445,-116.645471,2025-09-27 23:03:14.104353,icasas,23990.0
casa en  22767 cuatro milpas baja california mex,45909500.0,,4,4,31.87928699872847,-116.67761628607788,2025-09-27 23:03:14.104353,icasas,
casa en  loma dorada ensenada baja california mexico,10999916.2,,4,4,31.8242256,-116.6018998,2025-09-27 23:03:14.104353,icasas,
casa en  paseo de los robles 408470 loma dorada ensenada baja california 22897 mex,8500000.0,227.0,3,4,31.824482,-116.602149,2025-09-27 23:03:14.104353,icasas,37444.93392070485
casa en  baja country club francisco i. madero ensenada baja california mexico,5968235.0,300.0,3,2,31.7669197,-116.5198744,2025-09-27 23:03:14.104353,icasas,19894.116666666665
casa en  calle francisco i. madero ensenada baja california mexico,5968235.0,330.0,3,2,31.9147054,-116.588834,2025-09-27 23:03:14.104353,icasas,18085.560606060608
casa en  valle verde ensenada,6850000.0,365.0,4,3,31.8854614,-116.6173789,2025-09-27 23:03:14.104353,icasas,18767.12328767123
casa en  calle la puerta 251281 puerta del mar ensenada baja california 22896 mex,4500000.0,120.0,3,2,31.812809,-116.590711,2025-09-27 23:03:14.104353,icasas,37500.0
casa en  privada san fernando villas cibolas del mar san miguel ensenada baja california 22760 mex,14691040.0,300.0,3,3,31.906067,-116.725734,2025-09-27 23:03:14.104353,icasas,48970.13333333333
casa en  calle lerdo de tejada 466 san antonio de las minas villa de juarez ensenada baja california 22766 mex,5150000.0,130.0,3,3,31.967222,-116.645833,2025-09-27 23:03:14.104353,icasas,39615.38461538462
casa en  lomas del sauzal ensenada,6516000.0,177.0,3,2,31.8892222,-116.6809248,2025-09-27 23:03:14.104353,icasas,36813.5593220339
casa en  lago chaira 462 valle dorado ensenada baja california mexico,6835000.0,246.0,3,2,31.8298196,-116.5936674,2025-09-27 23:03:14.104353,icasas,27784.552845528455
casa en  ensenada centro ensenada,15058316.0,303.0,4,3,31.875978,-116.628224,2025-09-27 23:03:14.104353,icasas,49697.412541254125
casa en  calle carbo las lomas ensenada baja california 22766 mex,18500000.0,465.0,3,2,31.991163,-116.625632,2025-09-27 23:03:14.104353,icasas,39784.94623655914
casa en  carretera ramal a francisco zarco ensenada baja california 22766 mex,27545700.0,505.0,8,13,31.999188,-116.661675,2025-09-27 23:03:14.104353,icasas,54545.94059405941
casa en  calle san ignacio villas cibolas del mar ensenada baja california 22760 mex,21118370.0,441.0,3,3,31.908187,-116.723864,2025-09-27 23:03:14.104353,icasas,47887.46031746032
casa en  calle manuel m. de leon 1797 empleados ensenada baja california 22820 mex,29800000.0,900.0,6,9,31.882933,-116.625081,2025-09-27 23:03:14.104353,icasas,33111.11111111111
casa en  calle las gardenias lomas de valle verde ensenada baja california 22810 mex,5500000.0,200.0,4,3,31.883272,-116.601732,2025-09-27 23:03:14.104353,icasas,27500.0
casa en  boulevard geranios lomitas indeco iii ensenada baja california 22810 mex,4250000.0,143.0,3,2,31.891311,-116.58798,2025-09-27 23:03:14.104353,icasas,29720.27972027972
casa en  privada de coronado 175 chapultepec ensenada baja california 22870 mex,3700000.0,127.0,3,2,31.867934,-116.633737,2025-09-27 23:03:14.104353,icasas,29133.858267716536
casa en  privada de coronado 175 chapultepec ensenada baja california 22870 mex,8200000.0,223.0,4,3,31.867934,-116.633737,2025-09-27 23:03:14.104353,icasas,36771.30044843049
casa en  calle del barco 112 san marino ensenada baja california 22870 mex,9500000.0,281.0,4,3,31.86557,-116.65564,2025-09-27 23:03:14.104353,icasas,33807.829181494664
